lstm_hidden_layer_n_neurons,lstm_n_hidden_layers,bi_lstm,n_hidden_layers,batch_size,learning_rate,dense_hidden_layer_n_neurons,activation,num_epochs,dropout_prob,batch_normalisation,dense_layer_type,grad_clip,Train r2,Val r2,Test r2,Train RMSE,Val RMSE,Test RMSE,Train MAPE,Val MAPE,Test MAPE,Time,verbose,random_state,loss_function
50.0,1.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.233093,-0.198105,-0.191342,0.006767,0.006819,0.006882,853899237372.9556,891401895706.9683,859433353992.8505,59.09,True,19260817.0,MSE
50.0,2.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.065845,-0.077367,-0.076842,0.006291,0.006467,0.006543,392462971165.4841,409699670851.0707,395006521688.0439,104.14,True,19260817.0,MSE
50.0,3.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.143209,-0.117652,-0.11327,0.006516,0.006586,0.006653,677973872202.7417,707750011325.2318,682367817424.6025,148.91,True,19260817.0,MSE
50.0,2.0,0.0,2.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.143401,-0.117822,-0.113435,0.006516,0.006587,0.006653,678401383711.1772,708196298840.6399,682798099632.9526,111.35,True,19260817.0,MSE
50.0,2.0,0.0,3.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.444701,-0.390787,-0.378622,0.007325,0.007347,0.007403,1164161753794.8171,1215290925232.436,1171706680207.623,117.08,True,19260817.0,MSE
25.0,2.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.065792,-0.077312,-0.076787,0.006291,0.006466,0.006543,392290111736.64404,409519219556.8021,394832541958.1235,77.87,True,19260817.0,MSE
100.0,2.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.061346,-0.072589,-0.072137,0.006278,0.006452,0.006529,377425875351.6089,394002156287.5794,379871970532.5817,180.61,True,19260817.0,MSE
200.0,2.0,0.0,1.0,128.0,0.01,50.0,relu,100.0,0.1,0.0,Dense,0.0,-0.047946,-0.058243,-0.057999,0.006238,0.006409,0.006485,329021435460.3288,343471827191.0592,331153821712.2422,375.7,True,19260817.0,MSE
200.0,2.0,0.0,1.0,128.0,0.01,25.0,relu,100.0,0.1,0.0,Dense,0.0,-0.047742,-0.058023,-0.057782,0.006238,0.006408,0.006485,328236097205.75507,342651997428.6484,330363393684.4298,18672.69,True,19260817.0,MSE
200.0,2.0,0.0,1.0,128.0,0.01,100.0,relu,100.0,0.1,0.0,Dense,0.0,-0.062794,-0.074129,-0.073653,0.006282,0.006457,0.006533,382324611095.22406,399116041084.8778,384802454957.6676,388.39,True,19260817.0,MSE
200.0,2.0,0.0,1.0,128.0,0.01,200.0,relu,100.0,0.1,0.0,Dense,0.0,-0.02273,-0.030494,-0.030594,0.006163,0.006324,0.006401,214058709044.508,223460018095.19272,215446022450.4864,3888.31,True,19260817.0,MSE
